facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F001,Andheri,8.5,2.0,Low,Yes,420.0,2.0,2026-08-01
F002,Bandra,6.0,5.0,Medium,Yes,610.0,6.0,2026-08-02
F003,Dadar,4.5,8.0,High,No,780.0,14.0,2026-08-03
F004,Andheri,7.5,3.0,Low,Yes,350.0,3.0,2026-08-04
F005,Bandra,6.25,6.0,Medium,Yes,540.0,8.0,2026-08-05
F006,Dadar,3.0,9.0,High,No,890.0,18.0,2026-08-06
F007,Kurla,9.0,1.0,Low,Yes,290.0,1.0,2026-08-07
F008,Kurla,5.5,7.0,High,No,670.0,11.0,2026-08-08
F009,Andheri,6.25,4.0,Medium,Yes,460.0,4.0,2026-08-09
F010,Bandra,6.5,5.0,Medium,Yes,580.0,7.0,2026-08-10
F011,Dadar,4.0,8.0,High,Yes,580.0,16.0,2026-08-11
F012,Kurla,7.0,4.0,Low,Yes,1200.0,5.0,2026-08-12
