facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F001,Andheri,8.5,2,Low,Yes,420,2,2026-08-01
F002,Bandra,6.0,5,Medium,Yes,610,6,2026-08-02
F003,Dadar,4.5,8,High,No,780,14,2026-08-03
F004,Andheri,7.5,3,Low,Yes,350,3,2026-08-04
F005,Bandra,,6,Medium,Yes,540,8,2026-08-05
F006,Dadar,3.0,9,High,No,890,18,2026-08-06
F007,Kurla,9.0,1,Low,Yes,290,1,2026-08-07
F008,Kurla,5.5,7,High,No,670,11,2026-08-08
F008,Kurla,5.5,7,High,No,670,11,2026-08-08
F009,Andheri,11,4,Medium,Yes,460,4,2026-08-09
F010,Bandra,6.5,-1,medium,Yes,580,7,2026-08-10
F011,Dadar,4.0,8,High,Unknown,-50,16,2026-08-11
F012,Kurla,7.0,4,Low,Yes,1200,5,2026-08-12
