facility_id,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,waste_score,hygiene_risk
F001,8.5,2,Low,2,420,8,0,Low
F002,6.0,5,Medium,6,610,18,2,High
F003,4.5,8,High,14,780,28,4,High
F004,7.5,3,Low,3,350,6,0,Low
F005,6.25,6,Medium,8,540,20,2,High
F006,3.0,9,High,18,890,32,4,High
F007,9.0,1,Low,1,290,4,0,Low
F008,5.5,7,High,11,670,24,4,High
F009,6.25,4,Medium,4,460,12,2,Low
F010,6.5,5,Medium,7,580,16,2,High
F011,4.0,8,High,16,580,22,4,High
F012,7.0,4,Low,5,1200,5,0,Low
